Collection_LocationId,COLLECTION_LOCATION_UUID,branchNumber,COLLECTION_TYPE,FRIENDLY_IDENTIFIER,OPERATION_TYPE
7641,a605eec4-3f6a-46ad-a344-2f28811c9e17,2392,STORE_COLLECT,CA,NONPOD
7504,515360b0-d649-4a21-afcc-08abda487732,2394,COLLECT_FROM_LOCATION,SA,NONPOD
7294,5adda14d-2ac5-4177-88ad-70e7111254ad,2394,COLLECT_FROM_LOCATION,SB,NONPOD
7047,b43c3b3f-e61f-408c-ae84-cdd0c41a9715,2394,STORE_COLLECT,PA,POD
8107,3b5dedfa-541e-4ec6-ad76-64e23491dc3f,2396,STORE_COLLECT,CA,NONPOD
7360,e5cab9f3-da2a-41f4-86ad-587252b81f0e,2397,STORE_COLLECT,CA,NONPOD
8129,777674a0-ce0c-4484-bebd-f812535e2356,2414,STORE_COLLECT,PA,POD
7244,a2fc281f-3240-4428-a63a-74d456439f03,2422,STORE_COLLECT,CA,POD
7224,124a132d-06e7-4cec-8725-0da39271b3ce,2425,STORE_COLLECT,PA,POD
7403,75421b8b-fc9c-47da-87bd-b3a5e33e1834,2429,STORE_COLLECT,PA,POD
7175,af4e78ba-782a-46ac-bafb-457610d46f92,2436,STORE_COLLECT,CA,POD
7669,518392fd-5432-4b92-adff-7fbaa7fdb4ff,2444,STORE_COLLECT,CA,NONPOD
7125,efd9cb93-a81b-48ae-a7e4-d9d7b26c2093,2450,STORE_COLLECT,CA,NONPOD
7017,4dfb58e4-a4bd-46d0-84e5-c9ef2f71bc83,2461,STORE_COLLECT,PA,POD
7437,c15e2773-2eb0-4f81-85c3-4ef0f35d739f,2470,STORE_COLLECT,PA,POD
7176,05384348-4d9b-45da-ac38-e2386de3d93d,2487,STORE_COLLECT,CA,POD
7333,63c9e6fe-db73-48c4-afe5-b4d6fcb2f05a,2487,COLLECT_FROM_LOCATION,SA,NONPOD
7537,2dfbb34a-4ccc-4e83-9cdd-1c001c6e0e85,2535,STORE_COLLECT,CA,NONPOD
7246,006f2c81-8c08-4068-9d1b-586e7ea34e38,2538,STORE_COLLECT,PA,POD
7683,8f0656f3-1420-4598-9792-b4fc517f0237,2549,STORE_COLLECT,CA,NONPOD
7664,386c411a-fc44-4141-a6d1-5c78d41a7463,2551,STORE_COLLECT,CA,NONPOD
7227,ddfb526e-1d49-45f8-b67b-97ff705622f0,2555,STORE_COLLECT,CA,NONPOD
7731,40d59fe3-974e-483a-bc01-442f692c4d26,2557,STORE_COLLECT,CA,NONPOD
7110,282ca4fe-e3d9-4bc2-bd73-0ceff79c8a29,2560,STORE_COLLECT,CA,POD
7039,e428a388-1ad1-4788-a412-f017bb2ebd54,2569,STORE_COLLECT,PA,POD
7057,40bb583f-2757-4e14-98cf-1a4215362a94,2587,STORE_COLLECT,CA,POD
7612,a4453ccb-14df-4e5d-a6e2-733d1075211b,2589,STORE_COLLECT,CA,NONPOD
7211,d6f378de-77a2-417f-8f90-3c0744390fb4,2590,STORE_COLLECT,CA,POD
7782,3da67a1e-8d9b-4302-ad35-70cda1df1aae,2636,STORE_COLLECT,CA,NONPOD
7721,534a7679-777a-4f84-af15-cd559715efb3,2638,STORE_COLLECT,CA,NONPOD
7005,7d8174de-da01-48ed-abf1-6d4a765f912c,2639,STORE_COLLECT,PA,POD
7646,47201438-a7bb-49fb-bebb-17bd9e2c3268,2642,STORE_COLLECT,CA,NONPOD
7139,08ef7b54-caae-4112-8b21-9acc0bbd99f7,2647,COLLECT_FROM_LOCATION,VA,NONPOD
7006,f936d098-6ec7-4d0c-b5ff-56a498dbc278,2653,STORE_COLLECT,PA,POD
7319,655d1d29-b014-4472-b30d-61ebe025e2ad,2654,STORE_COLLECT,PA,POD
7112,e259d2e7-7230-4e9f-b890-042929145914,2663,STORE_COLLECT,PA,POD
7771,1add047f-7786-4fc3-852a-6a4f6389aa20,2667,STORE_COLLECT,CA,NONPOD
7153,068f8d5d-fc2a-494e-b49f-4d3a20ef7e28,2675,STORE_COLLECT,CA,POD
7666,150cddb7-cff9-401e-8fb9-233ef58d9d5c,2676,STORE_COLLECT,CA,NONPOD
7087,ba7ede8f-33e7-4057-8417-ed30b8e6a6d9,2693,STORE_COLLECT,CA,NONPOD
7177,6ce90c0c-da10-4352-919a-aa35559a280d,2694,STORE_COLLECT,PA,POD
,7178,2699,STORE_COLLECT,CA,POD
,7517,2699,COLLECT_FROM_LOCATION,SA,NONPOD
7279,51cff0f5-d24f-4b3f-a910-e8327034a667,2736,COLLECT_FROM_LOCATION,VA,NONPOD
7417,6a29732b-c94d-47cf-99ce-57bddc8da43a,2737,COLLECT_FROM_LOCATION,SA,NONPOD
7192,c86358cb-8771-422f-aabd-e547edc68f9d,2737,STORE_COLLECT,CA,POD
7016,a61c3b18-e410-4e25-a5ba-53ec4e92521d,2742,STORE_COLLECT,PA,POD
7147,08e007a1-59e7-4866-954b-f27a8ed4b6d3,2744,STORE_COLLECT,CA,NONPOD
7231,7231,2748,STORE_COLLECT,PA,POD
7807,04a6269a-6bd6-47c4-9f19-658b32143e8c,2765,STORE_COLLECT,CA,NONPOD
7179,94d29e0c-2241-419e-b8f8-7e575cc1d2fc,2767,STORE_COLLECT,CA,POD
7769,dd3c942b-fc95-4eb3-aa1b-cb056a73da81,2770,STORE_COLLECT,CA,NONPOD
7048,12e87579-99f9-4e90-8cd6-19cd67f6a2f7,2797,STORE_COLLECT,PA,POD
7543,e8e44a6b-543a-4971-85d6-e2aa79ff60ff,2797,COLLECT_FROM_LOCATION,SA,NONPOD
7205,faf88602-2faf-44a9-b054-68e8a13a74d4,2799,STORE_COLLECT,PA,POD
7764,a979ef62-b09d-43b4-8a0f-6daae0fa652d,2800,STORE_COLLECT,CA,NONPOD
7778,c02b1a55-3779-4c9b-91f9-accdd531d6ad,2801,STORE_COLLECT,CA,NONPOD
7716,79772388-79d5-41c0-b99c-aa7cb5fb0686,2804,COLLECT_FROM_LOCATION,SA,NONPOD
7143,93c57dbf-68ea-42ab-a166-d1c9b0b03d93,2804,STORE_COLLECT,PA,POD
7760,52984d35-cf31-4a3d-8caf-65cc65b4d9e0,2808,STORE_COLLECT,CA,NONPOD
7399,d1deac15-7ed7-478d-b0a4-5228fa374fb9,2812,STORE_COLLECT,CA,NONPOD
7431,11a68278-4f2d-4938-a643-10a61c8a70e9,2814,STORE_COLLECT,PA,POD
7150,eb459215-394b-4f81-9488-76b9d8437e40,2819,STORE_COLLECT,CA,NONPOD
7218,6cd9ba4a-a3a6-4e84-ab99-94b246deb971,2825,STORE_COLLECT,CA,POD
